{'fvalues': 242.8934492934763, 'time_values': 12.784872055053711}
{'fvalues': 250.01870062433474, 'time_values': 12.676509857177734}
{'fvalues': 246.17734872027071, 'time_values': 12.457841873168945}
{'fvalues': 253.01328076509228, 'time_values': 12.539044380187988}
{'fvalues': 242.44752323233817, 'time_values': 12.560691833496094}
{'fvalues': 253.355578767471, 'time_values': 12.644309997558594}
{'fvalues': 249.62535660521584, 'time_values': 12.68742561340332}
{'fvalues': 248.57784801548138, 'time_values': 12.795820236206055}
{'fvalues': 242.48576351724597, 'time_values': 12.729222297668457}
{'fvalues': 250.23043954133664, 'time_values': 12.750703811645508}
{'fvalues': 798.4115156536342, 'time_values': 5.701923370361328}
{'fvalues': 801.1125156870714, 'time_values': 5.6610002517700195}
{'fvalues': 799.7210061685711, 'time_values': 5.7679948806762695}
{'fvalues': 800.5230769141517, 'time_values': 5.745002746582031}
{'fvalues': 797.7608126510283, 'time_values': 5.661313056945801}
{'fvalues': 801.0847536045421, 'time_values': 5.648834228515625}
{'fvalues': 799.0171644564401, 'time_values': 5.709039688110352}
{'fvalues': 797.0941318712963, 'time_values': 5.720836639404297}
{'fvalues': 792.4822298930634, 'time_values': 5.648867130279541}
{'fvalues': 799.7622957053104, 'time_values': 5.696187973022461}
{'fvalues': 980.2644855385827, 'time_values': 6.4985432624816895}
{'fvalues': 979.8170508090967, 'time_values': 6.407312393188477}
{'fvalues': 979.9780885781465, 'time_values': 6.434826850891113}
{'fvalues': 979.9800980060752, 'time_values': 6.484504699707031}
{'fvalues': 979.9610742656744, 'time_values': 6.380612373352051}
{'fvalues': 980.0383804552483, 'time_values': 6.450224876403809}
{'fvalues': 979.9380905919237, 'time_values': 6.519441604614258}
{'fvalues': 980.1166066342313, 'time_values': 6.521696090698242}
{'fvalues': 979.9754090179355, 'time_values': 6.4321746826171875}
{'fvalues': 979.8941634901217, 'time_values': 6.515297889709473}
{'fvalues': 253.0972399846478, 'time_values': 12.802498817443848}
{'fvalues': 242.00653052924972, 'time_values': 12.748930931091309}
{'fvalues': 247.19242232072466, 'time_values': 12.709308624267578}
{'fvalues': 240.74856639150832, 'time_values': 12.825141906738281}
