{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 984.306762278315, 'time_values': 43.00881576538086}
{'fvalues': 985.5948904159893, 'time_values': 37.46015167236328}
{'fvalues': 975.7058723683998, 'time_values': 37.67976760864258}
{'fvalues': 978.3020767731864, 'time_values': 37.522342681884766}
{'fvalues': 997.7600122172109, 'time_values': 37.41826629638672}
{'fvalues': 990.9196676399292, 'time_values': 37.401580810546875}
{'fvalues': 978.3099571216951, 'time_values': 37.40425491333008}
{'fvalues': 979.8659747910903, 'time_values': 38.99541473388672}
{'fvalues': 987.3789992483386, 'time_values': 37.49381637573242}
{'fvalues': 997.4623361769566, 'time_values': 37.305057525634766}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 959.5217743992357, 'time_values': 15.886494636535645}
{'fvalues': 968.3720559611576, 'time_values': 15.536336898803711}
{'fvalues': 971.2422115363242, 'time_values': 15.660046577453613}
{'fvalues': 972.9927087630388, 'time_values': 16.226985931396484}
{'fvalues': 970.2168888556317, 'time_values': 15.421566009521484}
{'fvalues': 961.3019094716263, 'time_values': 15.63191032409668}
{'fvalues': 959.9341391426257, 'time_values': 16.17188835144043}
{'fvalues': 975.2903441355456, 'time_values': 15.646373748779297}
{'fvalues': 966.2568092298295, 'time_values': 15.70728874206543}
{'fvalues': 963.7535713214509, 'time_values': 16.059616088867188}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
