{'fvalues': -546.3367558131882, 'time_values': 233.73536682128906}
{'fvalues': -530.3593869952911, 'time_values': 223.61410522460938}
{'fvalues': -1010.3558340120189, 'time_values': 224.59988403320312}
{'fvalues': -1307.6055771637766, 'time_values': 224.02711486816406}
{'fvalues': -1521.936810876941, 'time_values': 221.5268096923828}
{'fvalues': -506.1960871644188, 'time_values': 225.1392364501953}
{'fvalues': -1452.4241648712584, 'time_values': 225.49725341796875}
{'fvalues': -1453.9533699684775, 'time_values': 222.3240966796875}
{'fvalues': -279.19095811517843, 'time_values': 226.35287475585938}
{'fvalues': -628.7856494394497, 'time_values': 224.52171325683594}
{'fvalues': -159.94543421360424, 'time_values': 223.61973571777344}
{'fvalues': -243.83253368584724, 'time_values': 224.7205047607422}
{'fvalues': -62.402040748241866, 'time_values': 224.53749084472656}
{'fvalues': -75.62846400666942, 'time_values': 224.08705139160156}
{'fvalues': -155.75898355445352, 'time_values': 225.01748657226562}
{'fvalues': -208.85039284182875, 'time_values': 224.2379608154297}
{'fvalues': -90.37791678546371, 'time_values': 225.8174285888672}
{'fvalues': -228.2166138024907, 'time_values': 224.90342712402344}
{'fvalues': -155.564826836889, 'time_values': 224.4173126220703}
{'fvalues': -220.92356395750602, 'time_values': 224.3901824951172}
